,hierarchy_level,job_field,job_since,years_at_job,company2,hierarchy_level2,job_field2,school,approx_work_xp
0,Lead,Product,avr. 2020 ,2,Criteo,Senior,Product,SUPELEC,8
1,Chief,Marketing,mai 2018 ,4,other company,founder,Business,SUPELEC,31
2,Head,Quality,nov. 2020 ,2,Criteo,Head,Quality,EUROMED,11
3,Manager,Business,janv. 2021 ,1,Criteo,Senior,Business,ESSCA,4
4,Manager,IT/Data,mars 2021 ,1,other company,Director,IT/Data,unknown,-1
5,Partner,Business,janv. 2022 ,0,Criteo,Senior,Product,iae (business management school),13
6,Employee,Business,juin 2020 ,2,other company,Partner,Marketing,IESEG,2
7,Manager,Business,sept. 2020 ,2,Criteo,Employee,Account Strategist,Université Paris Panthéon-sorbonne,2
8,Senior,IT/Data,avr. 2021 ,1,Criteo,Senior,IT/Data,university of plymouth,18
9,Employee,HR,nov. 2021 ,1,other company,Employee,Product,Université Paris Panthéon-sorbonne,1
10,Intern,Business,janv. 2022 ,0,other company,Intern,Business,EMLYON,0
11,Employee,Account Strategist,mars 2021 ,1,Criteo,Intern,Account Strategist,EMLYON,3
12,Intern,IT/Data,sept. 2018 ,4,other company,Director,Product,ecole centrale de paris,21
13,Manager,IT/Data,avr. 2018 ,4,Criteo,Lead,Product,institut national des télécommunications,20
14,Head,Finance,avr. 2021 ,1,Criteo,Director,Finance,"pace university (ny, ny us)",18
15,Senior,IT/Data,janv. 2020 ,2,Criteo,Senior,Product,ecole supérieure d'electronique de l'ouest-eseo angers,13
16,Employee,Business,août 2021 ,1,other company,Employee,Product,edc paris business school,2
17,Partner,Business,déc. 2021 ,1,other company,Employee,HR,Université Paris Panthéon-sorbonne,9
18,Partner,IT/Data,janv. 2022 ,0,Criteo,Head,Business,ecole de management de marseille,10
19,Director,HR,févr. 2019 ,3,Criteo,Senior,HR,université de paris,18
20,Partner,Marketing,sept. 2008 ,14,other company,Director,Marketing,unknown,-1
21,Chief,IT/Data,nov. 2017 ,5,other company,Founder,IT,INSEAD,-1
22,Employee,R&D,2021 ,1,other company,Senior,HR,sciences po,7
23,Manager,Marketing,sept. 2021 ,1,other company,Employee,Consultant,exatice,1
24,Employee,Account Strategist,déc. 2021 ,1,Criteo,Employee,Account Strategist,ecs (european communication school),3
25,Intern,Marketing,janv. 2022 ,0,Criteo,Intern,Marketing,idrac business school,12
26,Lead,Business,sept. 2020 ,2,Criteo,Senior,Business,audencia,13
27,Manager,HR,janv. 2020 ,2,Criteo,Manager,Business,ensam/ ens cachan,10
28,Employee,Account Strategist,janv. 2022 ,0,Criteo,Manager,Business,PSB,3
29,Head,IT/Data,janv. 2020 ,2,Criteo,Senior,IT/Data,ensiie - école nationale supérieure d'informatique pour l'industrie et l'entreprise,17
