,company,hierarchy_level,job_field,job_since,years_at_job,company2,hierarchy_level2,job_field2,school,job2_start,job2_end2,job2_duration,approx_work_xp
0,other,Head,IT/Data,2020,2,other,Senior,Consultant,ecole centrale de nantes,2019,2022,3,7
1,other,Founder,Business,2018,4,other,Employee,other,ESSEC,2020,2022,2,5
2,other,VP,Business,2021,1,other,Director,other,université de bordeaux,2020,2021,1,25
3,other,Lead,Business,2020,2,other,Manager,Business,join lion,2018,2020,2,1
4,other,Head,Business,2021,1,Criteo,Lead,IT,burgundy school of business,2018,2021,3,13
5,other,CXO,HR,2021,1,other,Head,HR,igs-rh,2019,2021,2,3
6,other,Employee,Consultant,2017,5,other,CXO,Business,SUPELEC,2018,2020,2,10
7,other,Director,IT/Data,2022,0,other,Manager,IT/Data,KEDGE,2019,2022,3,12
8,other,Manager,Marketing,2020,2,other,Manager,Marketing,esc amiens,2017,2020,3,13
9,other,Manager,Product,2021,1,other,Manager,Product,noé,2021,2021,0,1
10,other,Manager,Business,2019,3,Criteo,Employee,Business,neoma business school,2016,2019,3,7
11,Criteo,Employee,IT/Data,2011,3,other,Employee,IT,"university of california, los angeles",2008,2010,2,15
12,other,Director,IT/Data,2022,0,other,Director,IT/Data,SKEMA,2019,2022,3,16
13,other,Senior,Business,2019,3,other,Director,Business,sciences po,2017,2019,2,1
14,other,Employee,Business,2015,7,other,Head,Marketing,cornell university,2017,2022,5,14
15,other,CXO,HR,2021,1,other,Head,HR,bem bordeaux ecole de management,2019,2021,2,11
16,other,CXO,Business,2021,1,other,CXO,Marketing,ESSEC,2015,2021,6,15
17,other,Head,IT/Data,2020,2,other,Employee,Consultant,HEC,2020,2022,2,15
18,other,Manager,Operations,2021,1,Criteo,Manager,Business,GEM,2018,2021,3,-1
19,other,Manager,Product,2021,1,other,Head,Product,SUPELEC,2019,2021,2,15
20,other,Employee,Business,2021,1,other,Employee,Business,ESSCA,2019,2021,2,4
21,other,Head,HR,2021,1,Criteo,Manager,HR,igs paris,2018,2021,3,8
22,other,Lead,Business,2020,2,Criteo,Manager,HR,cnfdi,2018,2020,2,10
23,other,Lead,HR,2020,2,other,Senior,Product,rouen business school,2019,2020,1,6
24,other,Manager,Business,2020,2,other,Employee,Business,toulouse school of management,2019,2019,0,4
25,other,Founder,Business,2019,3,Criteo,Senior,IT/Data,imperial college london,2018,2019,1,9
26,other,Head,Business,2018,4,other,Manager,IT/Data,HEC,2018,2018,0,5
27,other,Director,IT/Data,2021,1,other,Head,Product,ecole nationale d'administration,2021,2021,0,16
28,other,Manager,IT/Data,2021,1,other,Manager,Business,audencia business school,2020,2021,1,6
29,other,VP,IT,2021,1,Criteo,Director,IT,smith college,2020,2021,1,13
30,other,Manager,Business,2021,1,other,Employee,IT,esc la rochelle,2020,2021,1,8
31,other,Founder,Marketing,2020,2,other,Head,Marketing,ESSEC,2019,2021,2,18
32,other,Founder,Business,2015,7,other,Founder,Business,esiea - école d'ingénieur·e·s d'un numérique utile,2021,2022,1,26
33,other,Lead,Marketing,2020,2,other,VP,IT,ecole de management de lyon,2020,2020,0,19
34,other,Lead,IT/Data,2021,1,other,Employee,Business,HEC,2017,2021,4,9
35,other,Head,IT/Data,2021,1,other,Head,IT/Data,ESSEC,2019,2021,2,15
36,other,Director,Business,2022,0,other,Manager,Business,ecole supérieure de gestion,2018,2022,4,12
37,other,CXO,Marketing,2019,3,other,VP,Marketing,inseec business school,2018,2019,1,9
38,other,Head,Product,2021,1,other,CXO,Business,Université Paris Dauphine,2019,2022,3,10
39,other,Senior,Business,2018,4,other,Head,Business,audencia group - sciencescom,2016,2022,6,-1
40,other,CXO,Board/CEO,2019,3,other,Employee,other,SUPELEC,2015,2022,7,6
41,other,Manager,Product,2021,1,other,Employee,Product,noé,2019,2022,3,2
42,other,Head,IT/Data,2021,1,Criteo,Senior,IT/Data,politecnico di milano,2019,2022,3,9
43,other,Employee,Account Strategist,2021,1,other,Employee,Account Strategist,unknown,2020,2022,2,-1
44,other,Head,Product,2019,3,other,Head,Product,école polytechnique,2019,2022,3,8
45,other,Director,Marketing,2020,2,other,Director,Marketing,efficom paris,2020,2022,2,16
46,other,Manager,IT/Data,2022,0,other,Employee,IT/Data,SUPELEC,2020,2022,2,3
47,other,CXO,Board/CEO,2018,4,Criteo,Employee,IT/Data,école polytechnique,2017,2022,5,4
48,other,Manager,Product,2021,1,other,Lead,IT,pepperdine graziadio business school,2021,2022,1,2
49,other,Employee,Business,2019,3,other,Employee,Account Strategist,KEDGE,2018,2022,4,6
50,other,CXO,Operations,2021,1,Criteo,CXO,IT,ecole supérieure de commerce / iae de montpellier,2020,2022,2,22
51,other,Founder,Business,2020,2,other,Employee,Business,Mines,2019,2022,3,7
52,other,Employee,Consultant,2021,1,other,Employee,IT,northwestern university,2020,2022,2,12
53,other,Lead,IT,2017,5,other,Employee,IT/Data,epitech - european institute of technology,2013,2022,9,10
54,other,Founder,Business,2021,1,Criteo,VP,IT/Data,SUPELEC,2019,2022,3,23
55,other,Founder,Business,2020,2,other,Head,IT/Data,SUPELEC,2019,2022,3,8
56,other,CXO,HR,2021,1,other,Director,Business,EMLYON,2021,2022,1,4
57,other,Lead,Product,2020,2,other,Senior,Product,polytech montpellier,2019,2022,3,13
58,other,Lead,Business,2021,1,other,Employee,Account Strategist,HEC,2021,2022,1,3
59,other,CXO,Marketing,2019,3,other,Employee,Consultant,unknown,2018,2022,4,-1
60,other,Founder,Business,2019,3,other,Employee,Business,HEC,2018,2022,4,-1
61,other,Senior,IT/Data,2021,1,other,Lead,IT,GEM,2020,2022,2,10
62,Criteo,Head,Finance,2018,4,other,Employee,other,ecole de la chambre de commerce de paris,-1,-1,0,38
63,other,Director,Business,2020,2,other,Director,Business,unknown,2018,2022,4,-1
64,other,CXO,Finance,2021,1,Criteo,CXO,Finance,audencia,2017,2022,5,26
65,other,Senior,Business,2021,1,other,Manager,Business,esc pau business school,2019,2022,3,6
66,other,Employee,other,2020,2,other,Founder,Business,ESCP,2018,2022,4,3
67,other,Senior,Account Strategist,2018,4,other,Employee,Business,euridis business school,2017,2022,5,6
68,other,VP,Product,2021,1,other,VP,Business,unknown,2020,2022,2,-1
69,other,CXO,Product,2020,2,Criteo,Director,Product,"university of california, berkeley",2016,2022,6,20
70,Criteo,Employee,Finance,2018,4,other,Employee,Marketing,paris school of business,2017,2022,5,2
71,Criteo,Employee,IT/Data,2015,7,other,Employee,IT/Data,EFREI,2013,2022,9,9
72,other,Director,IT/Data,2021,1,Criteo,Manager,IT/Data,ecole superieure des ingenieurs de beyrouth,2020,2022,2,13
73,other,Employee,other,2020,2,Criteo,Senior,IT/Data,epitech - european institute of technology,2019,2022,3,8
74,other,CXO,IT/Data,2020,2,other,President,IT/Data,ensiie - école nationale supérieure d'informatique pour l'industrie et l'entreprise,2019,2022,3,11
75,other,Senior,IT/Data,2021,1,other,Senior,IT/Data,isae-supaero,2016,2022,6,8
76,other,Head,Business,2021,1,other,Employee,Board/CEO,collège citoyen de france,2021,2022,1,0
77,other,Founder,Business,2018,4,Criteo,Director,IT/Data,collège des ingénieurs,2013,2018,5,15
78,other,Manager,Business,2021,1,Criteo,Employee,Account Strategist,neoma business school,2018,2021,3,5
79,other,Employee,Product,2020,2,Criteo,Senior,IT/Data,ESCP,2018,2020,2,6
80,other,Head,Marketing,2019,3,other,Employee,IT/Data,the family paris,2019,2019,0,7
81,other,Head,Business,2021,1,other,Senior,Consultant,HEC,2019,2022,3,-1
82,other,Founder,Business,2021,1,other,Employee,Finance,sciences po,2019,2021,2,3
83,other,Head,IT/Data,2020,2,Criteo,Senior,Marketing,ISC,2019,2019,0,8
84,other,Employee,Business,2019,3,other,Employee,Business,EFREI,2018,2019,1,7
85,other,Manager,Product,2020,2,Criteo,Senior,IT/Data,université pierre et marie curie (paris vi),2018,2020,2,8
86,other,Employee,IT,2017,5,Criteo,Lead,IT,ESSEC,2014,2017,3,8
87,other,Founder,Business,2018,4,other,Employee,other,SUPELEC,2021,2022,1,-1
88,other,Head,IT/Data,2021,1,Criteo,Employee,IT/Data,ecole centrale de paris,2020,2021,1,10
89,other,CXO,other,2021,1,other,Employee,IT/Data,institut supérieur d'electronique de paris,2015,2021,6,28
90,other,Employee,R&D,2021,1,Criteo,Employee,R&D,école normale supérieure paris-saclay,2020,2020,0,2
91,other,Manager,IT/Data,2017,5,Criteo,Manager,IT/Data,SUPELEC,2016,2022,6,11
92,other,Employee,IT/Data,2016,6,Criteo,Senior,IT/Data,HEC,2015,2022,7,10
93,other,Employee,Business,2020,2,other,Employee,other,école polytechnique,2020,2022,2,10
94,other,CXO,Business,2021,1,other,Employee,other,ISC,2019,2022,3,17
95,other,Director,Business,2009,13,Criteo,Manager,IT/Data,the university of chicago booth school of business,2014,2022,8,-1
96,other,Lead,IT/Data,2021,1,other,Employee,IT/Data,imt atlantique,2020,2022,2,5
97,other,Director,Marketing,2020,2,Criteo,Head,Marketing,aix-marseille université,2019,2022,3,20
98,other,Employee,IT,2021,1,Criteo,Senior,R&D,SUPELEC,2018,2022,4,12
99,other,Director,Finance,2017,5,other,Manager,other,università bocconi,2016,2022,6,20
100,other,Senior,IT/Data,2019,3,Criteo,Employee,IT/Data,enseirb-matmeca (bordeaux),2018,2022,4,9
101,other,Employee,Product,2021,1,other,VP,Product,école polytechnique,2020,2022,2,10
102,other,Director,Operations,1996,26,Criteo,Employee,Finance,centrale lille,2014,2022,8,29
103,other,Senior,IT/Data,2019,3,Criteo,Senior,IT/Data,école polytechnique,2016,2022,6,10
